DATAFLOW,LAST UPDATE,freq,indic_sbs,nace_r2,size_emp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Estonia,2022,98922.69,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Estonia,2023,96527.37,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Greece,2021,314154.32,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Greece,2022,404853.92,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Greece,2023,411897.32,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Spain,2021,2451168.93,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Spain,2022,2921104.09,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Spain,2023,3037740.76,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,European Union - 27 countries (from 2020),2021,32158961.49,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,European Union - 27 countries (from 2020),2022,38280653.96,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,European Union - 27 countries (from 2020),2023,38289617.41,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Finland,2021,485661.04,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Finland,2022,552583.78,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Finland,2023,540599.28,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,France,2021,4784585.94,b,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,France,2022,5445046.48,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,France,2023,5576281.68,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Croatia,2021,114120.17,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Croatia,2022,143866.59,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Croatia,2023,153543.86,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Hungary,2021,397246.64,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Hungary,2022,475642.45,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Hungary,2023,477952.18,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Ireland,2021,1109091.78,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Ireland,2022,1288729.04,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Ireland,2023,950473.13,p,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Iceland,2021,33814.22,NaN,NaN
18/12/24 23:00:00,Annual,Net turnover - million euro,Industry\\\\,construction and market services (except public administration and defence; compulsory social security; activities of membership organisations),Total,Iceland,2022,43906.94,NaN,NaN
